Facility Name,Facility ID,State,Measure Name,Number of Discharges,Excess Readmission Ratio,Number of Readmissions,HCAHPS Measure ID,HCAHPS Question,HCAHPS Answer Description,Patient Survey Star Rating,Number of Completed Surveys,Survey Response Rate Percent
RUSSELL COUNTY HOSPITAL,490002,VA,READM-30-PN-HRRP,91.0,1.0352,18,H_COMP_1_STAR_RATING,Nurse communication - star rating,Nurse communication - star rating,4.0,132.0,19.0
RUSSELL COUNTY HOSPITAL,490002,VA,READM-30-PN-HRRP,91.0,1.0352,18,H_COMP_2_STAR_RATING,Doctor communication - star rating,Doctor communication - star rating,2.0,132.0,19.0
RUSSELL COUNTY HOSPITAL,490002,VA,READM-30-PN-HRRP,91.0,1.0352,18,H_COMP_5_STAR_RATING,Communication about medicines - star rating,Communication about medicines - star rating,3.0,132.0,19.0
RUSSELL COUNTY HOSPITAL,490002,VA,READM-30-PN-HRRP,91.0,1.0352,18,H_COMP_6_STAR_RATING,Discharge information - star rating,Discharge information - star rating,3.0,132.0,19.0
RUSSELL COUNTY HOSPITAL,490002,VA,READM-30-PN-HRRP,91.0,1.0352,18,H_CLEAN_STAR_RATING,Cleanliness - star rating,Cleanliness - star rating,4.0,132.0,19.0
RUSSELL COUNTY HOSPITAL,490002,VA,READM-30-PN-HRRP,91.0,1.0352,18,H_QUIET_STAR_RATING,Quietness - star rating,Quietness - star rating,4.0,132.0,19.0
RUSSELL COUNTY HOSPITAL,490002,VA,READM-30-PN-HRRP,91.0,1.0352,18,H_HSP_RATING_STAR_RATING,Overall hospital rating - star rating,Overall hospital rating - star rating,3.0,132.0,19.0
RUSSELL COUNTY HOSPITAL,490002,VA,READM-30-PN-HRRP,91.0,1.0352,18,H_RECMND_STAR_RATING,Recommend hospital - star rating,Recommend hospital - star rating,3.0,132.0,19.0
RUSSELL COUNTY HOSPITAL,490002,VA,READM-30-PN-HRRP,91.0,1.0352,18,H_STAR_RATING,Summary star rating,Summary star rating,3.0,132.0,19.0
RUSSELL COUNTY HOSPITAL,490002,VA,READM-30-HF-HRRP,41.0,1.0391,11,H_COMP_1_STAR_RATING,Nurse communication - star rating,Nurse communication - star rating,4.0,132.0,19.0
RUSSELL COUNTY HOSPITAL,490002,VA,READM-30-HF-HRRP,41.0,1.0391,11,H_COMP_2_STAR_RATING,Doctor communication - star rating,Doctor communication - star rating,2.0,132.0,19.0
RUSSELL COUNTY HOSPITAL,490002,VA,READM-30-HF-HRRP,41.0,1.0391,11,H_COMP_5_STAR_RATING,Communication about medicines - star rating,Communication about medicines - star rating,3.0,132.0,19.0
RUSSELL COUNTY HOSPITAL,490002,VA,READM-30-HF-HRRP,41.0,1.0391,11,H_COMP_6_STAR_RATING,Discharge information - star rating,Discharge information - star rating,3.0,132.0,19.0
RUSSELL COUNTY HOSPITAL,490002,VA,READM-30-HF-HRRP,41.0,1.0391,11,H_CLEAN_STAR_RATING,Cleanliness - star rating,Cleanliness - star rating,4.0,132.0,19.0
RUSSELL COUNTY HOSPITAL,490002,VA,READM-30-HF-HRRP,41.0,1.0391,11,H_QUIET_STAR_RATING,Quietness - star rating,Quietness - star rating,4.0,132.0,19.0
